aX,aY,aZ,gX,gY,gZ
-0.643,1.556,-0.143,-97.107,-57.739,-77.881
-0.739,1.628,-0.185,-108.032,-67.566,-83.923
-0.821,1.705,-0.241,-126.892,-75.195,-91.003
-0.902,1.764,-0.327,-151.184,-80.811,-98.083
-0.991,1.833,-0.427,-177.673,-86.792,-107.544
-1.028,1.869,-0.513,-202.942,-92.529,-120.911
-1.031,1.891,-0.606,-227.295,-95.825,-136.169
-0.988,1.923,-0.718,-251.343,-100.464,-149.292
-0.967,1.954,-0.818,-273.132,-113.586,-158.63
-1.019,1.962,-0.901,-285.828,-133.789,-166.382
-1.047,1.934,-0.986,-288.147,-155.823,-175.537
-1.059,1.882,-1.073,-284.119,-176.147,-185.73
-1.061,1.808,-1.101,-279.175,-195.007,-193.909
-1.113,1.81,-1.261,-280.884,-215.942,-200.745
-0.999,1.794,-1.339,-286.865,-230.957,-204.529
-1.055,1.845,-1.36,-294.556,-229.858,-212.463
-1.024,1.947,-1.37,-303.406,-212.28,-222.107
-1.008,2.025,-1.306,-313.538,-185.913,-230.896
-0.955,2.066,-1.22,-325.256,-155.09,-231.201
-0.87,2.111,-1.115,-337.646,-122.742,-220.52
-0.765,2.155,-0.994,-345.154,-95.764,-197.205
-0.671,2.16,-0.807,-339.661,-77.393,-163.452
-0.62,2.133,-0.588,-317.688,-67.749,-122.498
-0.594,1.99,-0.317,-283.875,-65.796,-78.979
-0.628,1.747,0.008,-245.605,-70.374,-35.461
-0.681,1.432,0.381,-210.571,-77.881,4.395
-0.741,1.069,0.697,-184.937,-87.891,36.926
-0.8,0.734,0.906,-167.908,-98.267,56.946
-0.846,0.42,1.021,-158.264,-108.093,60.974
-0.891,0.156,1.047,-155.945,-115.662,52.307
-0.87,-0.037,0.954,-155.579,-117.432,37.048
-0.809,-0.177,0.835,-155.701,-110.535,21.179
-0.685,-0.313,0.769,-157.349,-95.215,8.301
-0.473,-0.4,0.785,-160.095,-75.623,3.235
-0.267,-0.47,0.801,-159.546,-59.265,2.625
-0.021,-0.563,0.899,-156.982,-41.931,9.399
0.176,-0.605,0.88,-154.114,-30.884,20.447
0.391,-0.668,0.809,-147.095,-26.733,27.344
0.544,-0.793,0.761,-131.958,-30.762,26.917
0.684,-0.889,0.678,-114.075,-42.48,18.982
0.756,-0.917,0.491,-97.9,-57.007,7.874
0.786,-0.92,0.316,-84.534,-67.688,-5.005
0.838,-0.888,0.181,-77.881,-66.528,-13.733
0.949,-0.871,0.068,-77.087,-55.603,-17.517
1.052,-0.842,-0.042,-80.566,-43.518,-15.869
1.142,-0.766,-0.174,-82.825,-36.194,-11.719
1.199,-0.711,-0.3,-79.285,-35.522,-10.132
1.209,-0.661,-0.421,-71.472,-40.1,-10.254
1.18,-0.618,-0.53,-63.477,-46.326,-8.179
1.104,-0.57,-0.75,-56.213,-55.969,-3.54
1.055,-0.546,-0.846,-47.729,-61.34,2.441
0.993,-0.556,-0.934,-38.086,-65.125,6.592
0.894,-0.523,-1.037,-29.968,-67.2,11.047
0.804,-0.515,-1.096,-20.752,-64.941,16.418
0.719,-0.495,-1.138,-12.329,-60.303,19.531
0.634,-0.484,-1.167,-4.761,-54.993,19.653
0.569,-0.501,-1.17,2.319,-49.866,17.456
0.53,-0.501,-1.162,6.958,-45.105,13.733
0.499,-0.487,-1.166,8.301,-41.016,8.85
0.508,-0.487,-1.16,8.606,-36.804,3.052
0.51,-0.445,-1.169,9.583,-33.508,-2.808
0.52,-0.387,-1.188,11.597,-30.64,-7.446
0.497,-0.313,-1.195,14.404,-24.17,-9.155
0.51,-0.252,-1.186,19.836,-11.719,-8.057
0.572,-0.251,-1.158,21.179,-6.531,-8.301
0.593,-0.201,-1.109,20.264,-9.216,-9.583
0.548,-0.152,-1.005,23.376,-10.254,-7.08
0.577,-0.131,-0.957,28.625,0.793,-5.188
0.632,-0.136,-0.924,31.982,12.817,-3.601
0.647,-0.107,-0.887,31.555,18.86,-0.122
0.658,-0.073,-0.879,30.212,22.705,2.197
