aX,aY,aZ,gX,gY,gZ
-0.43,-1.276,0.504,28.809,10.62,-3.662
-0.494,-1.364,0.497,38.513,13.245,-2.991
-0.574,-1.469,0.471,49.377,14.771,-2.258
-0.685,-1.584,0.442,59.326,14.587,-1.099
-0.797,-1.703,0.425,66.711,12.695,-0.61
-0.906,-1.788,0.408,71.533,9.888,-1.343
-1.002,-1.841,0.384,75.5,7.874,-4.272
-1.061,-1.86,0.35,80.078,6.775,-8.911
-1.082,-1.851,0.303,87.402,7.324,-14.893
-1.095,-1.828,0.243,98.389,9.277,-20.935
-1.086,-1.79,0.155,111.389,12.329,-26.001
-1.085,-1.753,0.052,124.695,16.479,-29.968
-1.095,-1.727,-0.057,136.23,20.996,-32.593
-1.126,-1.69,-0.145,143.188,25.391,-35.95
-1.161,-1.625,-0.229,143.982,29.053,-40.649
-1.219,-1.542,-0.335,138.855,29.419,-46.265
-1.267,-1.421,-0.488,127.38,24.048,-51.758
-1.315,-1.274,-0.661,108.398,12.573,-56.519
-1.375,-1.071,-0.846,84.595,-4.822,-61.035
-1.403,-0.844,-0.969,60.425,-26.062,-66.589
-1.353,-0.549,-1.059,41.138,-46.509,-72.937
-1.205,-0.234,-1.14,30.334,-63.782,-76.66
-1,0.016,-1.156,24.963,-76.416,-70.74
-0.761,0.236,-1.148,17.273,-81.97,-47.241
-0.453,0.393,-1.095,4.395,-75.989,-2.136
0.031,0.498,-1.026,-16.174,-56.396,61.279
0.681,0.521,-0.887,-42.175,-18.982,132.08
1.368,0.416,-0.57,-64.941,38.574,181.58
2.029,0.264,-0.074,-86.67,116.516,190.308
2.708,0.196,0.474,-118.286,197.754,167.114
3.277,0.106,1.012,-167.053,254.7,138.489
3.565,0.091,1.463,-232.178,274.292,121.704
3.497,0.112,1.853,-296.631,260.376,113.525
3.006,0.142,2.239,-339.05,228.333,101.135
2.272,0.166,2.488,-344.788,193.054,79.834
1.513,0.137,2.647,-307.007,162.964,59.021
1.045,0.035,2.799,-235.657,143.433,49.927
1.008,-0.2,2.864,-147.034,132.263,57.434
1.093,-0.523,2.728,-48.401,110.779,68.481
1.121,-0.771,2.432,39.063,69.031,60.791
1.003,-0.838,1.964,91.431,13.672,36.255
0.952,-0.703,1.377,107.727,-40.894,6.226
0.7,-0.463,0.801,106.323,-101.746,-11.475
0.341,-0.294,0.27,101.746,-147.888,-19.958
0.099,-0.212,-0.164,108.459,-163.574,-21.851
-0.058,-0.229,-0.475,121.277,-152.832,-13.55
-0.121,-0.302,-0.665,130.676,-126.099,-5.371
-0.123,-0.418,-0.755,128.784,-90.82,0.671
-0.098,-0.52,-0.765,114.563,-51.086,4.639
-0.072,-0.583,-0.692,90.332,-13.855,4.7
0.004,-0.625,-0.56,60.547,14.282,2.502
0.08,-0.608,-0.397,28.687,24.414,-1.831
0.14,-0.591,-0.212,0,25.085,-1.099
0.094,-0.568,-0.026,-24.902,22.339,4.578
0.053,-0.584,0.096,-36.682,29.968,7.568
0.098,-0.605,0.208,-34.424,44.312,4.333
0.145,-0.617,0.338,-25.696,55.481,2.747
0.171,-0.659,0.453,-13.855,61.157,5.249
0.184,-0.724,0.535,1.099,61.829,9.766
0.213,-0.814,0.569,18.982,60.547,14.404
0.253,-0.901,0.583,34.241,55.176,19.104
0.306,-0.991,0.589,43.152,46.692,23.865
0.343,-1.068,0.58,46.021,35.767,26.917
0.373,-1.123,0.553,44.067,23.682,27.893
0.396,-1.157,0.521,39.49,11.963,27.1
0.418,-1.19,0.494,33.569,2.563,24.17
0.449,-1.192,0.473,26.062,-6.104,18.616
0.459,-1.171,0.461,17.212,-14.771,12.756
0.441,-1.138,0.439,9.766,-21.729,6.592
0.411,-1.105,0.419,6.042,-25.696,1.16
0.421,-1.075,0.408,5.127,-28.137,-4.028
0.416,-1.047,0.405,5.127,-31.006,-8.911
0.41,-1.017,0.413,5.676,-32.166,-13.855
0.372,-0.985,0.403,5.859,-31.128,-16.663
0.331,-0.946,0.389,6.653,-28.015,-18.982
0.299,-0.915,0.382,9.521,-23.499,-21.484
0.266,-0.9,0.365,13.794,-18.372,-23.01
0.221,-0.887,0.342,18.799,-14.404,-22.034
0.195,-0.885,0.328,24.353,-11.108,-19.775
0.19,-0.912,0.333,29.968,-7.996,-17.456
0.202,-0.934,0.329,33.386,-5.249,-15.381
0.21,-0.952,0.316,33.569,-4.7,-13.55
0.197,-0.961,0.294,32.166,-5.31,-11.841
0.182,-0.999,0.294,30.518,-6.409,-9.399
0.147,-1.004,0.27,26.367,-6.775,-6.592
0.11,-0.988,0.232,22.278,-5.249,-4.761
0.125,-0.958,0.224,21.484,-2.075,-5.127
0.165,-0.958,0.227,24.353,2.625,-8.728
0.202,-0.95,0.216,28.381,8.85,-13.367
0.224,-0.943,0.214,29.663,14.587,-16.785
0.226,-0.948,0.226,28.076,18.188,-19.043
0.201,-0.961,0.254,24.536,18.372,-20.874
0.171,-0.945,0.275,19.165,15.259,-22.522
0.134,-0.902,0.263,13.428,11.108,-22.583
0.096,-0.884,0.256,10.925,7.751,-19.714
0.085,-0.892,0.253,13.123,5.371,-15.686
0.108,-0.909,0.238,16.846,5.798,-11.719
0.151,-0.925,0.226,20.203,7.996,-8.85
0.2,-0.941,0.206,22.705,10.254,-8.118
